title,image_file,true_labels,description,labels_list,oversample_factor,category
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Decline crunch-,Decline_crunch.jpg,Decline crunch,The decline crunch is a popular bodyweight exercise targeting the rectus abdominis or six-pack muscles,['Decline crunch'],2,weight_loss
Gorilla burpee,Gorilla_burpee.jpg,Gorilla burpee,The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg,['Gorilla burpee'],2,weight_loss
Shoulder tap,Shoulder_tap.jpg,Shoulder tap,The shoulder tap is an exercise targeting the abdominals and core. The basic stance matches the top of a push-up position. From there,['Shoulder tap'],2,muscle_gain
Dumbbell suitcase crunch,Dumbbell_suitcase_crunch.jpg,Dumbbell suitcase crunch,The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult,['Dumbbell suitcase crunch'],2,weight_loss
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Russian Twist,Russian_Twist.jpg,Russian Twist,The Russian Twist is a core-strengthening exercise that primarily targets the obliques (side abs) while also engaging the rectus abdominis (six-pack muscles) and deep core stabilizers. It is commonly performed as a bodyweight movement but can be intensified using a medicine ball dumbbell or weighted plate.,['Russian Twist'],2,strength_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Landmine twist,Landmine_twist.jpg,Landmine twist,The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room,['Landmine twist'],2,muscle_gain
Bench oblique crunch,Bench_oblique_crunch.jpg,Bench oblique crunch,The bench oblique crunch is an exercise that targets the obliques,['Bench oblique crunch'],2,weight_loss
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Leg Extension,Leg_Extension.jpg,Leg Extension,The Leg Extension is an isolation exercise performed on a leg extension machine to specifically target the quadriceps (front thigh muscles). It is commonly used to strengthen the quads improve knee stability and enhance overall leg definition.,['Leg Extension'],2,strength_training
Banded jumping jack,Banded_jumping_jack.jpg,Banded jumping jack,The banded jumping jack takes a classic plyometric exercise and adds an extra degree of difficulty in the form of a band surrounding the thighs,['Banded jumping jack'],2,weight_loss
Leg Raises,Leg_Raises.jpg,Leg Raises,The Hanging Leg Raise is an advanced core exercise that targets the lower abdominal muscles hip flexors and overall core stability. It is performed while hanging from a pull-up bar requiring both grip strength and core control.,['Leg Raises'],2,strength_training
Hanging crunch,Hanging_crunch.jpg,Hanging crunch,The hanging crunch an abdominal exercise that targets the rectus abdominis or six-pack muscles. It can be performed hanging from a bar,['Hanging crunch'],2,weight_loss
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Exercise ball superman,Exercise_ball_superman.jpg,Exercise ball superman,The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body,['Exercise ball superman'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Hammer Curls,Hammer_Curls.jpg,Hammer Curls,This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep,['Hammer Curls'],2,muscle_gain
Leg Extension G,Leg_Extension_G.jpg,Leg Extension G,The Leg Extension is an isolation exercise performed on a leg extension machine to specifically target the quadriceps (front thigh muscles). It is commonly used to strengthen the quads improve knee stability and enhance overall leg definition.,['Leg Extension G'],2,strength_training
30 Decline Reverse Crunch,30_Decline_Reverse_Crunch.jpg,30 Decline Reverse Crunch,The decline reverse crunch is a core exercise targeting the lower abdominals.,['30 Decline Reverse Crunch'],2,weight_loss
Tricep Dips G,Tricep_Dips_G.jpg,Tricep Dips G,Triceps Dips are a bodyweight exercise that primarily targets the triceps chest and shoulders. They are performed using parallel bars or a dip station and are excellent for building upper body strength and muscle definition.,['Tricep Dips G'],2,strength_training
AM Cable Crunch,AM_Cable_Crunch.jpg,AM Cable Crunch,The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or six-pack muscles,['AM Cable Crunch'],2,weight_loss
Double crunch,Double_crunch.jpg,Double crunch,The double crunch is a bodyweight exercise focused on the muscles of the core,['Double crunch'],2,weight_loss
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Russian Twist,Russian_Twist.jpg,Russian Twist,The Russian Twist is a core-strengthening exercise that primarily targets the obliques (side abs) while also engaging the rectus abdominis (six-pack muscles) and deep core stabilizers. It is commonly performed as a bodyweight movement but can be intensified using a medicine ball dumbbell or weighted plate.,['Russian Twist'],2,strength_training
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Single-kettlebell windmill,Singlekettlebell_windmill.jpg,Singlekettlebell windmill,The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting,['Singlekettlebell windmill'],2,strength_training
FYR Dumbbell Hammer Curl,FYR_Dumbbell_Hammer_Curl.jpg,FYR Dumbbell Hammer Curl,This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep,['FYR Dumbbell Hammer Curl'],2,muscle_gain
Lying bench reverse crunch,Lying_bench_reverse_crunch.jpg,Lying bench reverse crunch,The lying bench reverse crunch is a popular ab exercise performed by bringing the knees toward the chest while lying on a bench. It is largely similar to the same exercise performed on the floor,['Lying bench reverse crunch'],2,weight_loss
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Weighted Crunch - Gethin Variation,Weighted_Crunch__Gethin_Variation.jpg,Weighted Crunch  Gethin Variation,The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult,['Weighted Crunch  Gethin Variation'],2,weight_loss
Standing Dumbbell Calf Raise,Standing_Dumbbell_Calf_Raise.jpg,Standing Dumbbell Calf Raise,The standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg,['Standing Dumbbell Calf Raise'],2,muscle_gain
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Reach crunch,Reach_crunch.jpg,Reach crunch,The reach crunch is a bodyweight core exercise that involves keeping the arms raised toward the ceiling while performing a crunch. It can be performed for time or reps as part of any abs-focused circuit or workout.,['Reach crunch'],2,weight_loss
Suitcase crunch,Suitcase_crunch.jpg,Suitcase crunch,The suitcase crunch is a bodyweight movement that targets the muscles of the abs,['Suitcase crunch'],2,weight_loss
Rope Crunch,Rope_Crunch.jpg,Rope Crunch,The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or six-pack muscles,['Rope Crunch'],2,weight_loss
Barbell spider curl,Barbell_spider_curl.jpg,Barbell spider curl,The barbell spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The vertical bench angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps,['Barbell spider curl'],2,muscle_gain
Banded crunch isometric hold,Banded_crunch_isometric_hold.jpg,Banded crunch isometric hold,The banded crunch isometric hold is an exercise targeting the abdominal muscles particularly the rectus abdominis or six-pack muscles. The band adds resistance and continuous tension to this popular exercise.,['Banded crunch isometric hold'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Barbell Ab Rollout - On Knees,Barbell_Ab_Rollout__On_Knees.jpg,Barbell Ab Rollout  On Knees,The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first but once they can perform these for reps they'll be rewarded with a seriously strong core.,['Barbell Ab Rollout  On Knees'],2,muscle_gain
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Standing dumbbell knee crunch-,Standing_dumbbell_knee_crunch.jpg,Standing dumbbell knee crunch,The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally,['Standing dumbbell knee crunch'],2,weight_loss
Cable lying twist on ball,Cable_lying_twist_on_ball.jpg,Cable lying twist on ball,The cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface.,['Cable lying twist on ball'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Exercise Ball Knee Tuck - Gethin Varation,Exercise_Ball_Knee_Tuck__Gethin_Varation.jpg,Exercise Ball Knee Tuck  Gethin Varation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,['Exercise Ball Knee Tuck  Gethin Varation'],2,strength_training
Shoulder-Elevated One-Leg Hip Thrusts,ShoulderElevated_OneLeg_Hip_Thrusts.jpg,ShoulderElevated OneLeg Hip Thrusts,The Shoulder-Elevated One-Leg Hip Thrust is a unilateral lower-body exercise that primarily targets the glutes hamstrings and core while also engaging the quadriceps and hip stabilizers. By performing the movement on a single leg it increases muscular activation balance and core stability making it a great option for building strength and symmetry in the lower body.,['ShoulderElevated OneLeg Hip Thrusts'],2,strength_training
Kneeling cable oblique crunch,Kneeling_cable_oblique_crunch.jpg,Kneeling cable oblique crunch,The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or six-pack muscles,['Kneeling cable oblique crunch'],2,weight_loss
Banded Hammer Press - Gethin Variation,Banded_Hammer_Press__Gethin_Variation.jpg,Banded Hammer Press  Gethin Variation,The machine chest press is an upper body exercise targeting the pectoral muscles.,['Banded Hammer Press  Gethin Variation'],2,muscle_gain
Lunge with overhead reach,Lunge_with_overhead_reach.jpg,Lunge with overhead reach,The lunge with overhead reach is a full-body bodyweight movement targeting the quads and shoulders. It has both strength and mobility benefits and can be performed one leg at a time or alternating for time or for reps.,['Lunge with overhead reach'],2,strength_training
Single-arm high-cable side bend,Singlearm_highcable_side_bend.jpg,Singlearm highcable side bend,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.,['Singlearm highcable side bend'],2,muscle_gain
